Configuration;Power;Type I Error Rate
0.05,2000,ME,1.1,0.02;0;4
0.05,2000,ME,1.1,0.0001;0;7
0.05,2000,I,2.0,0.02;6;1
0.05,2000,I,2.0,0.0001;55;22
0.05,2000,I,1.5,0.02;39;25
0.05,2000,I,1.5,0.0001;39;14
0.05,2000,I,1.1,0.02;0;1
0.05,2000,I,1.1,0.0001;0;1
0.05,1000,ME+I,2.0,0.02;0;7
0.05,1000,ME+I,2.0,0.0001;3;30
0.05,1000,ME+I,1.5,0.02;0;2
0.05,1000,ME+I,1.5,0.0001;0;4
0.05,1000,ME+I,1.1,0.02;0;5
0.05,1000,ME+I,1.1,0.0001;0;3
0.05,1000,ME,2.0,0.02;0;6
0.05,1000,ME,2.0,0.0001;1;21
0.05,1000,ME,1.5,0.02;0;2
0.05,1000,ME,1.5,0.0001;0;5
0.05,1000,ME,1.1,0.02;0;6
0.05,1000,ME,1.1,0.0001;0;4
0.05,1000,I,2.0,0.02;0;0
0.05,1000,I,2.0,0.0001;3;1
0.05,1000,I,1.5,0.02;0;1
0.05,1000,I,1.5,0.0001;0;1
0.05,1000,I,1.1,0.02;0;0
0.05,1000,I,1.1,0.0001;0;2
0.01,500,ME+I,2.0,0.02;0;4
0.01,500,ME+I,2.0,0.0001;0;7
0.01,500,ME+I,1.5,0.02;0;7
0.01,500,ME+I,1.5,0.0001;0;6
0.01,500,ME+I,1.1,0.02;0;1
0.01,500,ME+I,1.1,0.0001;0;7
0.01,500,ME,2.0,0.02;0;1
0.01,500,ME,2.0,0.0001;0;7
0.01,500,ME,1.5,0.02;0;1
0.01,500,ME,1.5,0.0001;0;7
0.01,500,ME,1.1,0.02;0;1
0.01,500,ME,1.1,0.0001;0;7
0.01,500,I,2.0,0.02;0;0
0.01,500,I,2.0,0.0001;0;0
0.01,500,I,1.5,0.02;0;2
0.01,500,I,1.5,0.0001;0;1
0.01,500,I,1.1,0.02;0;0
0.01,500,I,1.1,0.0001;0;0
0.01,2000,ME+I,2.0,0.02;0;1
0.01,2000,ME+I,2.0,0.0001;0;4
0.01,2000,ME+I,1.5,0.02;0;6
0.01,2000,ME+I,1.5,0.0001;0;4
0.01,2000,ME+I,1.1,0.02;0;7
0.01,2000,ME+I,1.1,0.0001;0;5
0.01,2000,ME,2.0,0.02;0;1
0.01,2000,ME,2.0,0.0001;0;5
0.01,2000,ME,1.5,0.02;0;5
0.01,2000,ME,1.5,0.0001;0;5
0.01,2000,ME,1.1,0.02;0;5
0.01,2000,ME,1.1,0.0001;0;5
0.01,2000,I,2.0,0.02;0;0
0.01,2000,I,2.0,0.0001;0;2
0.01,2000,I,1.5,0.02;0;0
0.01,2000,I,1.5,0.0001;0;0
0.01,2000,I,1.1,0.02;0;0
0.01,2000,I,1.1,0.0001;0;1
0.01,1000,ME+I,2.0,0.02;0;5
0.01,1000,ME+I,2.0,0.0001;0;2
0.01,1000,ME+I,1.5,0.02;0;10
0.01,1000,ME+I,1.5,0.0001;0;5
0.01,1000,ME+I,1.1,0.02;0;5
0.01,1000,ME+I,1.1,0.0001;0;4
0.01,1000,ME,2.0,0.02;0;8
0.01,1000,ME,2.0,0.0001;0;4
0.01,1000,ME,1.5,0.02;0;9
0.01,1000,ME,1.5,0.0001;0;4
0.01,1000,ME,1.1,0.02;0;4
0.01,1000,ME,1.1,0.0001;0;4
0.01,1000,I,2.0,0.02;0;0
0.01,1000,I,2.0,0.0001;0;0
0.01,1000,I,1.5,0.02;0;0
0.01,1000,I,1.5,0.0001;0;0
0.01,1000,I,1.1,0.02;0;0
0.01,1000,I,1.1,0.0001;0;1
